Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Afghanistan,AFG,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,..,6.2,7.1,8.3,9.35,10.8,12.1,13.6,15.3,16.7,30.15,31.7,33.3,34.6,35.9,37.1,38.6,..,..
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,4.4,9.3,14.1,19,23.8,28.7,33.5,38.4,42.4,97.7,93.4,97.7,97.7,97.7,85.3,85.3,..,..
Afghanistan,AFG,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,14.8933122,..,..,..,9.653821844,..,..,..,..
Afghanistan,AFG,Adequacy of social insurance programs (% of total welfare of beneficiary households),per_si_allsi.adq_pop_tot,..,..,..,..,..,..,..,..,..,15.69503119,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),per_lm_alllm.adq_pop_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-19.50573346,..,..,..,..
Afghanistan,AFG,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,139.376,145.383,154.31,152.471,150.161,143.75,136.93,130.838,121.635,117.754,118.979,75.3,73.021,70.967,68.877,66.599,65.339,64.068,..,..
Afghanistan,AFG,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.32298422,58.30765221,57.94581666,57.94734986,57.93968385,58.08380479,58.15126566,58.13440044,58.12366803,58.12980084,58.13286724,58.12366803,58.27698818,58.27698818,58.74154823,58.74154823,58.74154823,58.43950754,..,..
Afghanistan,AFG,Agricultural land (sq. km),AG.LND.AGRI.K2,380400,380300,377940,377950,377900,378840,379280,379170,379100,379140,379160,379100,380100,380100,383130,383130,383130,381160,..,..
Afghanistan,AFG,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Air transport, passengers carried",IS.AIR.PSGR,241400,212300,149705,..,..,..,..,..,..,..,..,1647425,1125367,1066747.356,449041.025,293212.994,1157419,1031379,..,..
Afghanistan,AFG,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,1.950116688,1.49538872,8.539335917,..,2.425567911,2.471626676,0.494580316,0.475994202,0.85899294,0.837459188,1.498281599,3.50177143,2.961461071,3.02415747,1.821089541,..,..,..,..,..
Afghanistan,AFG,Asylum-seekers by country or territory of asylum,SM.POP.ASYS.EA,..,..,0,0,18,71,28,12,5,0,10,215,281,247,167,251,218,250,370,..
Afghanistan,AFG,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,..,..,..
Afghanistan,AFG,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,..,..,..,..,..,..,..,..,..,..,..,12.20183019,8.886660184,..,..,..,..,..,..,..
Afghanistan,AFG,Battle-related deaths (number of people),VC.BTL.DETH,1478,3302,5235,5055,890,687,715,1595,4750,6911,5552,19014,25676,29940,20475,35787,917,237,260,..
Afghanistan,AFG,"Binding coverage, all products (%)",TM.TAX.MRCH.BC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,96.64,..,..,..,..,..,..,..
Afghanistan,AFG,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,52.888,52.279,51.491,49.623,47.488,47.056,46.492,44.952,44.087,43.831,42.538,38.171,37.624,37.138,36.601,36.342,36.045,35.437,..,..
Afghanistan,AFG,"Borrowers from commercial banks (per 1,000 adults)",FB.CBK.BRWR.P3,..,..,..,..,..,..,..,..,..,..,3.347891656,3.135993043,3.425043475,3.017972626,..,..,..,..,..,..
Afghanistan,AFG,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,..,-2.585614083,-65.29707055,-67.67294732,-67.72108376,-65.02544354,-68.972631,-56.11676523,-51.22747903,-29.02626874,34.19405859,257.4886536,306.0617522,316.1944712,317.5354147,329.321964,288.4610095,300.5157475,314.9498006,..
Afghanistan,AFG,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,..,..,59.81465032,..,..,..,..,..,..,..,..,..,..,32.93045135,..,..,..,..,..,..
Afghanistan,AFG,Children out of school (% of primary school age),SE.PRM.UNER.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,..,..,..,..,..,..,0.366621385,0.583123944,0.923777315,1.237723068,1.477082748,2.035120206,1.961759771,1.873467041,..,..,..,..,..,..
Afghanistan,AFG,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.7,..
Afghanistan,AFG,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",EN.CLC.MDAT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.MS.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,4.067359549,..,..,..,0.469999999,..,..,..,..
Afghanistan,AFG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.42081714,14.3421528,18.3800424,16.85278812,..,..
Afghanistan,AFG,Forest area (% of land area),AG.LND.FRST.ZS,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,..,..
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,-9.43197407,28.60000117,8.832277803,1.414117993,11.22971483,5.357403247,13.82631955,3.92498382,2.647003203,1.189228129,3.911603416,-2.351100672,-20.73883937,-6.240171992,2.266943736,..,..
Algeria,DZA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,..,96.5,97,97.45,97.8,98.1,98.4,98.6,98.8,99,99.6,99.7,99.7,99.7,99.7,99.7,99.7,..,..
Algeria,DZA,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,98.6,98.6,98.6,98.6,98.6,98.6,98.7,98.7,99.3,99.5,99.6,99.5,99.7,99.8,100,100,..,..
Algeria,DZA,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,42.77662565,..,..,..,44.09702214,..,..,35.29010691,..
Algeria,DZA,Adequacy of social insurance programs (% of total welfare of beneficiary households),per_si_allsi.adq_pop_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),per_lm_alllm.adq_pop_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,85.87007,87.60795,90.74774,92.74897,93.90213,94.35822,95.08431,95.39817,95.64397,95.89073,97.26895,99.48537,99.6475,..,..,..,..,..,..,..
Algeria,DZA,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,-0.728826519,-2.806484065,19.48769977,-0.061266877,2.16341712,9.076392167,6.440789828,10.42910524,8.325385251,7.171397464,7.228899561,1.620998181,-0.152322209,0.126419049,-6.141459044,3.613816011,..,..,..,..
Algeria,DZA,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,9.520824517,18.85708853,..,..,..,..,..,27.31929614,29.12018604,32.19564318,32.73704298,22.24104352,20.9413489,18.90663639,14.28178529,15.77542393,..,..,..,..
Algeria,DZA,Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,..,..,..,..,..,..,..,..,..,..,..,4.051458785,3.793836619,5.438500511,1.016816369,5.012718143,6.207079574,4.190241752,0.515100319,77.56907163
Algeria,DZA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,24.364,24.426,8.658,8.065,7.74,7.727,7.789,7.87,8.403,8.795,9.161,9.978,9.495,10.328,9.901,9.343,8.977,8.698,..,..
Algeria,DZA,Agricultural land (% of land area),AG.LND.AGRI.ZS,16.23854829,16.21587579,16.80326148,16.84020926,16.73356454,16.7548515,17.27518537,17.3028962,17.29030037,17.32011051,17.34404259,17.35501081,17.35656799,17.34698162,17.33522551,17.33060704,17.35134817,17.35903163,..,..
Algeria,DZA,Agricultural land (sq. km),AG.LND.AGRI.K2,386760,386220,400210,401090,398550,399057,411450,412110,411810,412520,413090,413351.408,413388.496,413160,412880,412770,413264,413447,..,..
Algeria,DZA,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,0.05,0.11,0.02,0.02,0.02,0.07,0.07,0.15,0.05,0.05,0.07,0.09,0.11,0.11,0.1,0.09,0.09,0.09,..,..
Algeria,DZA,"Air transport, passengers carried",IS.AIR.PSGR,3748000,3385000,2997480,3419249,3002232,3292815,3236364,3037298,2899722,2813018,2884506,6230157,6442442,6752002,1460077,1949936,4621351,7160662.35,..,..
Algeria,DZA,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,1.875899706,1.805856392,3.364612173,3.278821317,3.334151751,3.164701005,3.187612657,3.130132153,3.208881261,3.141722441,3.074127334,2.564497932,2.532192191,2.501317137,2.813499342,..,..,..,..,..
Algeria,DZA,Asylum-seekers by country or territory of asylum,SM.POP.ASYS.EA,..,..,309,110,0,0,0,299,935,1587,899,6353,8910,1647,2124,2130,3646,3601,4838,..
Algeria,DZA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,..,..,..
Algeria,DZA,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,..,..,..,..,..,..,..,..,..,..,..,12.95850229,12.69740126,14.75576106,16.36388963,19.64159892,20.26175373,..,..,..
Algeria,DZA,Battle-related deaths (number of people),VC.BTL.DETH,..,34,947,642,539,670,397,217,255,472,339,60,33,..,26,..,..,..,..,..
Algeria,DZA,"Binding coverage, all products (%)",TM.TAX.MRCH.BC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,29.931,29.487,19.574,19.405,19.096,19.614,20.337,21.136,21.998,22.873,23.735,25.015,24.063,23.379,22.43,21.392,20.491,19.625,..,..
Algeria,DZA,"Borrowers from commercial banks (per 1,000 adults)",FB.CBK.BRWR.P3,..,..,..,..,..,..,26.00100249,23.2793694,23.37431615,27.82836536,28.98412517,41.01081215,43.24780654,50.62408191,48.12932126,48.63594074,41.9247161,46.86481707,..,..
Algeria,DZA,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,..,4.204828443,21.86699261,18.93517036,24.29022213,33.73951461,33.90539621,40.5215362,46.20848976,50.93715485,57.57893234,130.48854,142.2471483,151.783054,138.2909344,151.2773715,162.1796871,164.1059647,158.2575641,..
Algeria,DZA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,..,..,19.38593485,..,..,..,..,..,..,..,..,..,..,12.98441128,..,..,..,..,..,..
